Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Spirited Away,2003,7+,8.6/10,100/100,+ Rent or Buy,0
The Intouchables,2011,7+,8.5/10,99/100,+ Rent or Buy,0
3 Idiots,2009,13+,8.4/10,98/100,+ Rent or Buy,0
Seven Samurai,1954,N/A,8.6/10,97/100,+ Rent or Buy,0
Howl's Moving Castle,2004,7+,8.2/10,96/100,+ Rent or Buy,0
My Neighbor Totoro,1988,all,8.2/10,95/100,+ Rent or Buy,0
The Irishman,2019,18+,7.8/10,95/100,,0
Modern Times,1936,all,8.5/10,94/100,+ Rent or Buy,0
Marriage Story,2019,18+,7.9/10,93/100,,0
Dangal,2016,7+,8.4/10,93/100,,0
Once Upon a Time in America,1984,18+,8.4/10,93/100,Rent or Buy,0
La Haine,1995,N/A,8.1/10,93/100,+ Rent or Buy,0
City Lights,1931,all,8.5/10,93/100,+ Rent or Buy,0
Das Boot,1981,18+,8.3/10,92/100,Rent or Buy,0
David Attenborough: A Life on Our Planet,2020,7+,9.0/10,92/100,,0
Three Colors: Red,1994,18+,8.1/10,92/100,+ Rent or Buy,0
X2,2003,13+,7.4/10,92/100,+ Rent or Buy,0
Mary Poppins,1964,all,7.8/10,92/100,+ Rent or Buy,0
Persona,1966,N/A,8.1/10,91/100,+ Rent or Buy,0
Bicycle Thieves,1948,N/A,8.3/10,91/100,+ Rent or Buy,0
Yojimbo,1961,N/A,8.2/10,91/100,+ Rent or Buy,0
The Dark Knight,2008,13+,9.0/10,90/100,+ Rent or Buy,0
Notorious,1946,N/A,8.0/10,90/100,,0
The Straight Story,1999,all,8.0/10,90/100,+ Rent or Buy,0
Mary and Max,2009,N/A,8.1/10,90/100,Rent or Buy,0
Three Colors: Blue,1993,18+,7.9/10,90/100,+ Rent or Buy,0
Roma,2018,18+,7.7/10,90/100,,0
Inception,2010,13+,8.8/10,90/100,+ Rent or Buy,0
The Shawshank Redemption,1994,18+,9.3/10,90/100,+ Rent or Buy,0
To All the Boys I've Loved Before,2018,13+,7.1/10,90/100,,0
Lagaan: Once Upon a Time in India,2001,7+,8.1/10,90/100,,0
Fanny and Alexander,1982,18+,8.1/10,90/100,+ Rent or Buy,0
Fruitvale Station,2013,18+,7.5/10,90/100,+ Rent or Buy,0
The Social Dilemma,2020,13+,7.6/10,89/100,,0
Harakiri,1962,N/A,8.6/10,89/100,+ Rent or Buy,0
The Hunt for Red October,1990,7+,7.6/10,89/100,Rent or Buy,0
Tumbbad,2018,N/A,8.3/10,89/100,,0
The Trial of the Chicago 7,2020,18+,7.8/10,89/100,,0
Okja,2017,13+,7.3/10,89/100,,0
Article 15,2019,18+,8.2/10,89/100,,0
Fight Club,1999,18+,8.8/10,89/100,+ Rent or Buy,0
Dolemite Is My Name,2019,18+,7.3/10,89/100,,0
The Wages of Fear,1953,13+,8.1/10,89/100,+ Rent or Buy,0
The Matrix,1999,18+,8.7/10,88/100,+ Rent or Buy,0
The Ballad of Buster Scruggs,2018,16+,7.3/10,88/100,,0
The Godfather,1972,18+,9.2/10,88/100,Rent or Buy,0
Bo Burnham: Make Happy,2016,18+,8.5/10,88/100,,0
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7/10,88/100,,0
Pulp Fiction,1994,18+,8.9/10,88/100,+ Rent or Buy,0
The Battle of Algiers,1966,N/A,8.1/10,88/100,+ Rent or Buy,0
The Lord of the Rings: The Fellowship of the Ring,2001,13+,8.8/10,88/100,+ Rent or Buy,50
Mudbound,2017,18+,7.4/10,88/100,,50
The Secret World of Arrietty,2010,all,7.6/10,88/100,+ Rent or Buy,50
Z,1969,N/A,8.3/10,88/100,+ Rent or Buy,50
Throne of Blood,1957,N/A,8.1/10,88/100,+ Rent or Buy,50
Suspiria,1977,18+,7.4/10,88/100,+ Rent or Buy,50
Swades,2004,all,8.2/10,87/100,+ Rent or Buy,50
Fyre,2019,18+,7.2/10,87/100,,50
The Lord of the Rings: The Return of the King,2003,13+,8.9/10,87/100,+ Rent or Buy,50
Neon Genesis Evangelion: The End of Evangelion,1997,N/A,8.1/10,87/100,,50
Se7en,1995,18+,8.6/10,87/100,Rent or Buy,50
Contact,1997,7+,7.5/10,87/100,Rent or Buy,50
The Platform,2019,18+,7.0/10,87/100,,50
Gully Boy,2019,N/A,8.0/10,87/100,,50
Pather Panchali,1955,N/A,8.6/10,87/100,+ Rent or Buy,50
Interstellar,2014,13+,8.6/10,87/100,Rent or Buy,50
Eraserhead,1978,N/A,7.4/10,87/100,+ Rent or Buy,50
Chak De! India,2007,7+,8.2/10,87/100,+ Rent or Buy,50
Greyhound,2020,13+,7.0/10,87/100,,50
High and Low,1963,N/A,8.4/10,87/100,+ Rent or Buy,50
Breaking the Waves,1996,18+,7.8/10,87/100,+ Rent or Buy,50
Miss Americana,2020,18+,7.4/10,87/100,,50
La Strada,1954,N/A,8.0/10,87/100,+ Rent or Buy,50
Avengers: Endgame,2019,13+,8.4/10,87/100,+ Rent or Buy,50
Virunga,2014,16+,8.2/10,87/100,,50
The Celebration,1998,18+,8.1/10,87/100,Rent or Buy,50
To Be or Not to Be,1942,all,8.2/10,87/100,,50
Minding the Gap,2018,18+,8.1/10,87/100,,50
Alice in Wonderland,1951,all,7.4/10,86/100,+ Rent or Buy,50
Withnail & I,1987,18+,7.6/10,86/100,+ Rent or Buy,50
The Lord of the Rings: The Two Towers,2002,13+,8.7/10,86/100,+ Rent or Buy,50
Black Friday,2004,18+,8.5/10,86/100,,50
Talvar,2015,7+,8.2/10,86/100,+ Rent or Buy,50
Thunder Road,2018,18+,7.1/10,86/100,+ Rent or Buy,50
Avengers: Infinity War,2018,13+,8.4/10,86/100,+ Rent or Buy,50
I Am Mother,2019,13+,6.7/10,86/100,,50
Joker,2019,18+,8.4/10,86/100,+ Rent or Buy,50
Back to the Future,1985,7+,8.5/10,86/100,+ Rent or Buy,50
Soul,2020,7+,8.1/10,86/100,+ Rent or Buy,50
Forrest Gump,1994,13+,8.8/10,86/100,Rent or Buy,50
The King,2019,18+,7.2/10,86/100,,50
Up,2009,7+,8.2/10,86/100,+ Rent or Buy,50
Honey Boy,2019,18+,7.3/10,86/100,,50
The Departed,2006,18+,8.5/10,86/100,+ Rent or Buy,50
Tell Me Who I Am,2019,18+,7.6/10,86/100,,50
The Dark Knight Rises,2012,13+,8.4/10,86/100,+ Rent or Buy,50
The Report,2019,18+,7.2/10,86/100,,50
Three Colors: White,1994,18+,7.6/10,86/100,+ Rent or Buy,50
Through a Glass Darkly,1961,N/A,8.0/10,86/100,+ Rent or Buy,50
Gangs of Wasseypur - Part 1,2012,18+,8.2/10,86/100,+ Rent or Buy,50
PlayTime,1967,N/A,7.9/10,86/100,+ Rent or Buy,100
Tampopo,1985,N/A,7.9/10,86/100,+ Rent or Buy,100
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,8.4/10,86/100,,100
Saving Private Ryan,1998,18+,8.6/10,86/100,+ Rent or Buy,100
Hard Boiled,1992,18+,7.8/10,86/100,Rent or Buy,100
GoodFellas,1990,18+,8.7/10,86/100,+ Rent or Buy,100
Fantastic Planet,1973,7+,7.8/10,86/100,+ Rent or Buy,100
Au Revoir les Enfants,1987,7+,8.0/10,86/100,+ Rent or Buy,100
Eyes Without a Face,1960,N/A,7.7/10,86/100,+ Rent or Buy,100
Sanjuro,1962,N/A,8.1/10,85/100,+ Rent or Buy,100
The Silence of the Lambs,1991,18+,8.6/10,85/100,+ Rent or Buy,100
Borat Subsequent Moviefilm,2020,18+,6.7/10,85/100,,100
Pieces of a Woman,2020,18+,7.1/10,85/100,,100
Star Wars: A New Hope,1977,7+,8.6/10,85/100,+ Rent or Buy,100
Sholay,1975,N/A,8.2/10,85/100,+ Rent or Buy,100
The Half of It,2020,13+,6.9/10,85/100,,100
Memento,2000,18+,8.4/10,85/100,+ Rent or Buy,100
Conspiracy,2001,18+,7.7/10,85/100,+ Rent or Buy,100
Parasite,2019,18+,8.6/10,85/100,+ Rent or Buy,100
The Name of the Rose,1986,18+,7.7/10,85/100,Rent or Buy,100
John Mulaney: Kid Gorgeous at Radio City,2018,18+,8.0/10,85/100,,100
Deadpool,2016,18+,8.0/10,85/100,+ Rent or Buy,100
Star Wars: The Empire Strikes Back,1980,7+,8.7/10,85/100,+ Rent or Buy,100
A Shaun the Sheep Movie: Farmageddon,2019,all,6.8/10,85/100,,100
The Devil All the Time,2020,18+,7.1/10,85/100,,100
Crip Camp: A Disability Revolution,2020,18+,7.7/10,85/100,,100
The Prestige,2006,13+,8.5/10,85/100,+ Rent or Buy,100
Guardians of the Galaxy,2014,13+,8.0/10,85/100,+ Rent or Buy,100
Gerald's Game,2017,18+,6.5/10,85/100,,100
The Avengers,2012,13+,8.0/10,85/100,+ Rent or Buy,100
Gladiator,2000,18+,8.5/10,85/100,+ Rent or Buy,100
Man with a Movie Camera,1929,N/A,8.4/10,85/100,+ Rent or Buy,100
Ivan's Childhood,1962,18+,8.1/10,85/100,+ Rent or Buy,100
Dead Man,1995,18+,7.6/10,85/100,+ Rent or Buy,100
Shutter Island,2010,18+,8.2/10,85/100,+ Rent or Buy,100
Down by Law,1986,18+,7.7/10,85/100,+ Rent or Buy,100
I Lost My Body,2019,18+,7.6/10,85/100,,100
The Green Mile,1999,18+,8.6/10,85/100,+ Rent or Buy,100
The Fundamentals of Caring,2016,18+,7.3/10,85/100,,100
The Wolf of Wall Street,2013,18+,8.2/10,85/100,+ Rent or Buy,100
Belle de Jour,1967,18+,7.7/10,85/100,+ Rent or Buy,100
The Many Adventures of Winnie the Pooh,1977,all,7.6/10,85/100,+ Rent or Buy,100
The King of Kong: A Fistful of Quarters,2007,13+,8.1/10,85/100,Rent or Buy,100
A Woman Under the Influence,1974,18+,8.2/10,85/100,+ Rent or Buy,100
The Boy Who Harnessed the Wind,2019,7+,7.6/10,85/100,,100
A Hard Day's Night,1964,all,7.6/10,85/100,+ Rent or Buy,100
Alien,1979,18+,8.4/10,85/100,+ Rent or Buy,100
The Producers,1967,7+,7.6/10,85/100,+ Rent or Buy,100
On Body and Soul,2017,N/A,7.6/10,85/100,,100
WALL·E,2008,all,8.4/10,85/100,+ Rent or Buy,100
Django Unchained,2012,18+,8.4/10,85/100,+ Rent or Buy,150
Extraction,2020,18+,6.7/10,85/100,,150
Night and Fog,1956,N/A,8.6/10,85/100,+ Rent or Buy,150
Kind Hearts and Coronets,1949,13+,8.0/10,85/100,+ Rent or Buy,150
The Vanishing,1988,N/A,7.7/10,85/100,+ Rent or Buy,150
Schindler's List,1993,18+,8.9/10,85/100,Rent or Buy,150
Arrival,2016,13+,7.9/10,85/100,+ Rent or Buy,150
Brief Encounter,1945,13+,8.0/10,84/100,+ Rent or Buy,150
The Godfather: Part II,1974,18+,9.0/10,84/100,Rent or Buy,150
Batman Begins,2005,13+,8.2/10,84/100,+ Rent or Buy,150
A Man Escaped,1956,N/A,8.3/10,84/100,+ Rent or Buy,150
Always Be My Maybe,2019,13+,6.8/10,84/100,,150
Umberto D.,1952,N/A,8.2/10,84/100,+ Rent or Buy,150
Kiss the Ground,2020,18+,8.3/10,84/100,,150
Charlie and the Chocolate Factory,2005,7+,6.6/10,84/100,+ Rent or Buy,150
Raazi,2018,N/A,7.8/10,84/100,+ Rent or Buy,150
Whiplash,2014,18+,8.5/10,84/100,+ Rent or Buy,150
Woman in the Dunes,1964,N/A,8.5/10,84/100,+ Rent or Buy,150
Sunrise: A Song of Two Humans,1927,N/A,8.1/10,84/100,Rent or Buy,150
Ali: Fear Eats the Soul,1974,N/A,8.1/10,84/100,+ Rent or Buy,150
Scarface,1983,18+,8.3/10,84/100,+ Rent or Buy,150
Terminator 2: Judgment Day,1991,18+,8.5/10,84/100,+ Rent or Buy,150
Special 26,2013,N/A,8.0/10,84/100,+ Rent or Buy,150
The Umbrellas of Cherbourg,1964,13+,7.8/10,84/100,+ Rent or Buy,150
The Lion King,1994,all,8.5/10,84/100,Rent or Buy,150
The Visitor,2007,13+,7.6/10,84/100,+ Rent or Buy,150
Mickey's Christmas Carol,1983,all,8.0/10,84/100,+ Rent or Buy,150
Inglourious Basterds,2009,18+,8.3/10,84/100,+ Rent or Buy,150
Mad Max: Fury Road,2015,18+,8.1/10,84/100,+ Rent or Buy,150
Rangasthalam,2018,13+,8.4/10,84/100,,150
Harry Potter and the Philosopher's Stone,2001,7+,7.6/10,84/100,+ Rent or Buy,150
The Shining,1980,18+,8.4/10,84/100,+ Rent or Buy,150
The Sixth Sense,1999,13+,8.1/10,84/100,+ Rent or Buy,150
Léon: The Professional,1994,18+,8.5/10,84/100,+ Rent or Buy,150
Cool Runnings,1993,7+,7.0/10,84/100,+ Rent or Buy,150
Night on Earth,1991,18+,7.7/10,84/100,+ Rent or Buy,150
Out of the Past,1947,N/A,8.0/10,84/100,Rent or Buy,150
Children of Paradise,1945,N/A,8.4/10,84/100,+ Rent or Buy,150
Jurassic Park,1993,13+,8.1/10,84/100,+ Rent or Buy,150
Central Station,1998,18+,8.0/10,84/100,Rent or Buy,150
Raiders of the Lost Ark,1981,7+,8.4/10,84/100,+ Rent or Buy,150
Catch Me If You Can,2002,13+,8.1/10,84/100,+ Rent or Buy,150
